date,start_time_uk,value
2019-06-30,10:00:00,39.32
2019-07-01,10:00:00,30.35
2019-07-02,10:00:00,38.33
2019-07-03,10:00:00,38.0
2019-07-04,10:00:00,35.0
2019-07-05,10:00:00,45.59
2019-07-06,10:00:00,40.08
2019-07-07,10:00:00,41.1
2019-07-08,10:00:00,49.0
2019-07-09,10:00:00,44.0
2019-07-10,10:00:00,45.01
2019-07-11,10:00:00,49.74
2019-07-12,10:00:00,48.82
2019-07-13,10:00:00,54.0
2019-07-14,10:00:00,51.0
2019-07-15,10:00:00,51.58
2019-07-16,10:00:00,48.53
2019-07-17,10:00:00,44.95
2019-07-18,10:00:00,40.53
2019-07-19,10:00:00,52.8
2019-07-20,10:00:00,50.01
2019-07-21,10:00:00,51.69
2019-07-22,10:00:00,39.34
2019-07-23,10:00:00,40.06
2019-07-24,10:00:00,38.91
2019-07-25,10:00:00,45.5
2019-07-26,10:00:00,44.44
2019-07-27,10:00:00,49.0
2019-07-28,10:00:00,40.0
2019-07-29,10:00:00,40.97
2019-07-30,10:00:00,46.0
2019-07-31,10:00:00,39.15
2019-08-01,10:00:00,48.5
2019-08-02,10:00:00,49.0
2019-08-03,10:00:00,47.36
2019-08-04,10:00:00,44.4
2019-08-05,10:00:00,46.54
2019-08-06,10:00:00,42.05
2019-08-07,10:00:00,42.05
2019-08-08,10:00:00,39.47
2019-08-09,10:00:00,39.94
2019-08-10,10:00:00,49.9
2019-08-11,10:00:00,44.03
2019-08-12,10:00:00,47.4
2019-08-13,10:00:00,43.58
2019-08-14,10:00:00,55.2
2019-08-15,10:00:00,36.62
2019-08-16,10:00:00,40.4
2019-08-17,10:00:00,32.0
2019-08-18,10:00:00,31.85
2019-08-19,10:00:00,39.42
2019-08-20,10:00:00,36.73
2019-08-21,10:00:00,37.0
2019-08-22,10:00:00,38.3
2019-08-23,10:00:00,44.82
2019-08-24,10:00:00,42.0
2019-08-25,10:00:00,44.8
2019-08-26,10:00:00,40.72
2019-08-27,10:00:00,45.52
2019-08-28,10:00:00,48.0
2019-08-29,10:00:00,44.42
2019-08-30,10:00:00,35.51
2019-08-31,10:00:00,34.5
2019-09-01,10:00:00,42.21
2019-09-02,10:00:00,38.95
2019-09-03,10:00:00,36.0
2019-09-04,10:00:00,30.65
2019-09-05,10:00:00,31.9
2019-09-06,10:00:00,32.32
2019-09-07,10:00:00,40.58
2019-09-08,10:00:00,34.0
2019-09-09,10:00:00,42.97
2019-09-10,10:00:00,50.0
2019-09-11,10:00:00,31.32
2019-09-12,10:00:00,38.59
2019-09-13,10:00:00,38.94
2019-09-14,10:00:00,39.01
2019-09-15,10:00:00,41.2
2019-09-16,10:00:00,50.0
2019-09-17,10:00:00,45.23
2019-09-18,10:00:00,38.31
2019-09-19,10:00:00,40.42
2019-09-20,10:00:00,41.57
2019-09-21,10:00:00,27.11
2019-09-22,10:00:00,42.5
2019-09-23,10:00:00,42.22
2019-09-24,10:00:00,43.54
2019-09-25,10:00:00,43.49
2019-09-26,10:00:00,42.26
2019-09-27,10:00:00,44.76
2019-09-28,10:00:00,35.0
2019-09-29,10:00:00,43.94
2019-09-30,10:00:00,42.39
2019-10-01,10:00:00,38.92
2019-10-02,10:00:00,39.9
2019-10-03,10:00:00,43.51
2019-10-04,10:00:00,43.0
2019-10-05,10:00:00,51.0
2019-10-06,10:00:00,39.4
2019-10-07,10:00:00,44.9
2019-10-08,10:00:00,36.7
2019-10-09,10:00:00,40.48
2019-10-10,10:00:00,37.82
2019-10-11,10:00:00,39.2
2019-10-12,10:00:00,42.26
2019-10-13,10:00:00,42.0
2019-10-14,10:00:00,43.32
2019-10-15,10:00:00,45.45
2019-10-16,10:00:00,38.94
2019-10-17,10:00:00,44.15
2019-10-18,10:00:00,44.9
2019-10-19,10:00:00,47.01
2019-10-20,10:00:00,38.0
2019-10-21,10:00:00,43.85
2019-10-22,10:00:00,44.0
2019-10-23,10:00:00,42.79
2019-10-24,10:00:00,43.0
2019-10-25,10:00:00,42.51
2019-10-26,10:00:00,50.49
2019-10-27,10:00:00,34.67
2019-10-28,10:00:00,43.1
2019-10-29,10:00:00,44.56
2019-10-30,10:00:00,37.68
2019-10-31,10:00:00,36.7
2019-11-01,10:00:00,35.0
2019-11-02,10:00:00,36.0
2019-11-03,10:00:00,35.48
2019-11-04,10:00:00,38.28
2019-11-05,10:00:00,40.88
2019-11-06,10:00:00,50.02
2019-11-07,10:00:00,40.98
2019-11-08,10:00:00,47.77
2019-11-09,10:00:00,45.59
2019-11-10,10:00:00,48.0
2019-11-11,10:00:00,42.0
2019-11-12,10:00:00,43.33
2019-11-13,10:00:00,57.14
2019-11-14,10:00:00,45.88
2019-11-15,10:00:00,48.2
2019-11-16,10:00:00,54.0
2019-11-17,10:00:00,44.4
2019-11-18,10:00:00,48.66
2019-11-19,10:00:00,55.11
2019-11-20,10:00:00,48.57
2019-11-21,10:00:00,48.76
2019-11-22,10:00:00,46.36
2019-11-23,10:00:00,46.63
2019-11-24,10:00:00,48.08
2019-11-25,10:00:00,51.36
2019-11-26,10:00:00,47.65
2019-11-27,10:00:00,51.0
2019-11-28,10:00:00,43.45
2019-11-29,10:00:00,48.98
2019-11-30,10:00:00,56.0
2019-12-01,10:00:00,45.1
2019-12-02,10:00:00,49.0
2019-12-03,10:00:00,52.58
2019-12-04,10:00:00,44.0
2019-12-05,10:00:00,40.0
2019-12-06,10:00:00,45.19
2019-12-07,10:00:00,46.7
2019-12-08,10:00:00,32.08
2019-12-09,10:00:00,38.42
2019-12-10,10:00:00,42.97
2019-12-11,10:00:00,42.66
2019-12-12,10:00:00,43.21
2019-12-13,10:00:00,40.0
2019-12-14,10:00:00,38.9
2019-12-15,10:00:00,40.32
2019-12-16,10:00:00,41.83
2019-12-17,10:00:00,54.0
2019-12-18,10:00:00,41.84
