"DAYSAHEAD","TARGETDATE","FORECASTDEMAND","CARDINALPOINT","CP_TYPE","CP_ST_TIME","CP_END_TIME","F_Point","FORECAST_TIMESTAMP"
1,"2018-01-02T00:00:00Z",24920,"1F","F",30,30,"","2018-01-01T08:46:43Z"
1,"2018-01-02T00:00:00Z",25250,"1A","P",100,230,"","2018-01-01T08:46:43Z"
1,"2018-01-02T00:00:00Z",23390,"03","F",300,300,"","2018-01-01T08:46:43Z"
1,"2018-01-02T00:00:00Z",22480,"1B","T",430,730,"Om","2018-01-01T08:46:43Z"
1,"2018-01-02T00:00:00Z",37190,"2F","P",800,900,"","2018-01-01T08:46:43Z"
1,"2018-01-02T00:00:00Z",38930,"2A","P",930,1030,"","2018-01-01T08:46:43Z"
1,"2018-01-02T00:00:00Z",40050,"2B","P",1100,1300,"DM","2018-01-01T08:46:43Z"
1,"2018-01-02T00:00:00Z",39630,"3B","T",1330,1630,"Dm","2018-01-01T08:46:43Z"
1,"2018-01-02T00:00:00Z",44500,"DP","P",1700,1930,"EM","2018-01-01T08:46:43Z"
1,"2018-01-02T00:00:00Z",37530,"4B","F",2100,2100,"","2018-01-01T08:46:43Z"
1,"2018-01-02T00:00:00Z",26690,"4C","F",2400,2400,"","2018-01-01T08:46:43Z"
1,"2018-01-03T00:00:00Z",25520,"1F","F",30,30,"","2018-01-02T08:43:47Z"
1,"2018-01-03T00:00:00Z",25570,"1A","P",100,230,"","2018-01-02T08:43:47Z"
1,"2018-01-03T00:00:00Z",23890,"03","F",300,300,"","2018-01-02T08:43:47Z"
1,"2018-01-03T00:00:00Z",23200,"1B","T",430,730,"Om","2018-01-02T08:43:47Z"
1,"2018-01-03T00:00:00Z",39730,"2F","P",800,900,"","2018-01-02T08:43:47Z"
1,"2018-01-03T00:00:00Z",40380,"2A","P",930,1030,"DM","2018-01-02T08:43:47Z"
1,"2018-01-03T00:00:00Z",39870,"2B","P",1100,1300,"","2018-01-02T08:43:47Z"
1,"2018-01-03T00:00:00Z",39610,"3B","T",1330,1630,"Dm","2018-01-02T08:43:47Z"
1,"2018-01-03T00:00:00Z",46730,"DP","P",1700,1930,"EM","2018-01-02T08:43:47Z"
1,"2018-01-03T00:00:00Z",39850,"4B","F",2100,2100,"","2018-01-02T08:43:47Z"
1,"2018-01-03T00:00:00Z",27830,"4C","F",2400,2400,"","2018-01-02T08:43:47Z"
1,"2018-01-04T00:00:00Z",27230,"1F","F",30,30,"","2018-01-03T08:33:46Z"
1,"2018-01-04T00:00:00Z",27610,"1A","P",100,230,"","2018-01-03T08:33:46Z"
