value,date,start_time_uk
34.12,2020-06-30,10:00:00
34.7,2020-07-01,10:00:00
35.0,2020-07-02,10:00:00
33.67,2020-07-03,10:00:00
37.94,2020-07-04,10:00:00
-0.01,2020-07-05,10:00:00
29.01,2020-07-06,10:00:00
31.22,2020-07-07,10:00:00
39.46,2020-07-08,10:00:00
39.47,2020-07-09,10:00:00
35.99,2020-07-10,10:00:00
26.0,2020-07-11,10:00:00
24.73,2020-07-12,10:00:00
29.4,2020-07-13,10:00:00
32.0,2020-07-14,10:00:00
34.96,2020-07-15,10:00:00
37.59,2020-07-16,10:00:00
36.6,2020-07-17,10:00:00
29.01,2020-07-18,10:00:00
32.0,2020-07-19,10:00:00
32.11,2020-07-20,10:00:00
30.0,2020-07-21,10:00:00
32.14,2020-07-22,10:00:00
30.0,2020-07-23,10:00:00
35.6,2020-07-24,10:00:00
33.0,2020-07-25,10:00:00
24.9,2020-07-26,10:00:00
36.8,2020-07-27,10:00:00
27.08,2020-07-28,10:00:00
32.8,2020-07-29,10:00:00
31.5,2020-07-30,10:00:00
29.0,2020-07-31,10:00:00
36.0,2020-08-01,10:00:00
25.99,2020-08-02,10:00:00
36.19,2020-08-03,10:00:00
30.0,2020-08-04,10:00:00
30.68,2020-08-05,10:00:00
38.0,2020-08-06,10:00:00
34.26,2020-08-07,10:00:00
36.5,2020-08-08,10:00:00
35.99,2020-08-09,10:00:00
36.03,2020-08-10,10:00:00
40.1,2020-08-11,10:00:00
42.71,2020-08-12,10:00:00
37.12,2020-08-13,10:00:00
46.28,2020-08-14,10:00:00
39.0,2020-08-15,10:00:00
38.74,2020-08-16,10:00:00
45.0,2020-08-17,10:00:00
38.27,2020-08-18,10:00:00
48.48,2020-08-19,10:00:00
35.39,2020-08-20,10:00:00
36.0,2020-08-21,10:00:00
31.6,2020-08-22,10:00:00
40.0,2020-08-23,10:00:00
55.07,2020-08-24,10:00:00
36.78,2020-08-25,10:00:00
39.98,2020-08-26,10:00:00
58.69,2020-08-27,10:00:00
44.01,2020-08-28,10:00:00
38.42,2020-08-29,10:00:00
42.0,2020-08-30,10:00:00
57.18,2020-08-31,10:00:00
48.0,2020-09-01,10:00:00
43.11,2020-09-02,10:00:00
41.69,2020-09-03,10:00:00
45.94,2020-09-04,10:00:00
35.77,2020-09-05,10:00:00
42.75,2020-09-06,10:00:00
42.62,2020-09-07,10:00:00
46.03,2020-09-08,10:00:00
41.67,2020-09-09,10:00:00
47.0,2020-09-10,10:00:00
33.46,2020-09-11,10:00:00
35.45,2020-09-12,10:00:00
30.32,2020-09-13,10:00:00
43.93,2020-09-14,10:00:00
57.0,2020-09-15,10:00:00
54.01,2020-09-16,10:00:00
46.72,2020-09-17,10:00:00
43.84,2020-09-18,10:00:00
